venda_id,cliente_id,produto,quantidade,valor_unitario,data_venda
1,4,Notebook,1,372.93,2023-01-01
2,5,Celular,3,2857.3,2023-01-02
3,4,Monitor,2,299.37,2023-01-03
4,4,Celular,2,1784.74,2023-01-04
5,10,Teclado,3,1604.23,2023-01-05
6,7,Tablet,2,2920.04,2023-01-06
7,2,Monitor,2,2591.67,2023-01-07
8,1,Celular,1,337.19,2023-01-08
9,9,Mouse,4,1498.56,2023-01-09
10,4,Notebook,3,2924.35,2023-01-10
11,3,Teclado,4,1277.77,2023-01-11
12,8,Tablet,1,1982.32,2023-01-12
13,7,Teclado,2,2649.1,2023-01-13
14,2,Mouse,3,1226.91,2023-01-14
15,4,Teclado,4,530.54,2023-01-15
16,3,Teclado,2,2679.5,2023-01-16
17,5,Celular,2,2569.47,2023-01-17
18,1,Celular,1,1906.78,2023-01-18
19,7,Teclado,4,937.68,2023-01-19
20,9,Monitor,2,494.2,2023-01-20
21,8,Tablet,1,166.71,2023-01-21
22,4,Teclado,1,1023.66,2023-01-22
23,1,Teclado,3,1454.72,2023-01-23
24,1,Monitor,1,1926.89,2023-01-24
25,7,Tablet,3,1980.55,2023-01-25
26,4,Monitor,2,622.9,2023-01-26
27,7,Mouse,3,2469.73,2023-01-27
28,3,Mouse,5,1816.51,2023-01-28
29,3,Monitor,1,2692.33,2023-01-29
30,6,Tablet,3,137.48,2023-01-30
31,3,Monitor,4,362.77,2023-01-31
32,2,Monitor,4,2197.62,2023-02-01
33,3,Monitor,3,937.35,2023-02-02
34,1,Notebook,3,2554.97,2023-02-03
35,3,Tablet,1,245.81,2023-02-04
36,3,Monitor,3,885.18,2023-02-05
37,7,Teclado,3,1796.14,2023-02-06
38,2,Notebook,5,1256.41,2023-02-07
39,2,Teclado,1,399.31,2023-02-08
40,9,Monitor,2,447.8,2023-02-09
41,6,Notebook,1,1619.67,2023-02-10
42,9,Notebook,4,381.94,2023-02-11
43,3,Notebook,4,435.17,2023-02-12
44,2,Monitor,5,1461.54,2023-02-13
45,6,Celular,2,2572.42,2023-02-14
46,7,Tablet,3,682.59,2023-02-15
47,2,Monitor,3,2547.56,2023-02-16
48,4,Monitor,1,787.68,2023-02-17
49,8,Tablet,2,137.32,2023-02-18
50,3,Monitor,3,2214.53,2023-02-19
51,8,Mouse,2,1821.09,2023-02-20
52,10,Mouse,4,1688.0,2023-02-21
53,1,Celular,5,2694.61,2023-02-22
54,7,Teclado,3,2715.03,2023-02-23
55,2,Celular,2,820.11,2023-02-24
56,6,Tablet,1,2354.95,2023-02-25
57,2,Mouse,3,424.75,2023-02-26
58,4,Mouse,1,2939.25,2023-02-27
59,3,Mouse,2,741.4,2023-02-28
60,8,Mouse,2,1083.33,2023-03-01
61,7,Tablet,3,1441.96,2023-03-02
62,7,Tablet,4,2437.26,2023-03-03
63,2,Celular,5,2842.78,2023-03-04
64,9,Celular,2,343.81,2023-03-05
65,4,Monitor,1,1478.74,2023-03-06
66,3,Mouse,5,2428.19,2023-03-07
67,10,Mouse,4,847.18,2023-03-08
68,5,Teclado,2,162.26,2023-03-09
69,2,Notebook,4,1652.47,2023-03-10
70,9,Tablet,1,1690.47,2023-03-11
71,5,Celular,5,743.16,2023-03-12
72,5,Mouse,4,768.54,2023-03-13
73,10,Tablet,2,1991.68,2023-03-14
74,8,Notebook,1,2403.83,2023-03-15
75,1,Celular,2,290.77,2023-03-16
76,7,Teclado,4,303.21,2023-03-17
77,4,Mouse,2,2131.09,2023-03-18
78,3,Teclado,4,2158.45,2023-03-19
79,2,Teclado,2,2121.35,2023-03-20
80,5,Teclado,3,1977.72,2023-03-21
81,10,Monitor,4,2928.12,2023-03-22
82,1,Celular,5,1878.94,2023-03-23
83,1,Mouse,1,1457.59,2023-03-24
84,2,Tablet,3,144.56,2023-03-25
85,8,Teclado,2,2720.47,2023-03-26
86,7,Celular,2,2461.15,2023-03-27
87,6,Teclado,3,2103.57,2023-03-28
88,1,Celular,1,752.42,2023-03-29
89,10,Tablet,1,176.62,2023-03-30
90,9,Teclado,2,2281.98,2023-03-31
91,5,Celular,5,693.72,2023-04-01
92,4,Teclado,5,1632.39,2023-04-02
93,9,Monitor,5,2168.72,2023-04-03
94,7,Tablet,1,2975.81,2023-04-04
95,5,Tablet,4,1231.07,2023-04-05
96,5,Celular,2,130.85,2023-04-06
97,1,Notebook,4,1097.6,2023-04-07
98,7,Monitor,2,708.68,2023-04-08
99,5,Notebook,1,653.58,2023-04-09
100,7,Mouse,2,415.36,2023-04-10
