venda_id,cliente_id,produto,quantidade,valor_unitario,data_venda
101,4,Câmera,8,1899.01,2023-05-01
102,8,Console,1,2391.22,2023-05-02
103,3,Smartwatch,10,3732.73,2023-05-03
104,2,TV,5,3110.07,2023-05-04
105,6,Console,4,1073.5,2023-05-05
106,2,Câmera,3,2688.09,2023-05-06
107,4,Câmera,5,3658.94,2023-05-07
108,8,TV,10,986.55,2023-05-08
109,10,Console,9,2202.06,2023-05-09
110,8,Smartphone,8,2799.56,2023-05-10
111,2,Smartphone,3,3705.43,2023-05-11
112,8,Fone de Ouvido,9,3681.4,2023-05-12
113,9,TV,6,2928.18,2023-05-13
114,8,TV,4,2123.17,2023-05-14
115,3,Console,9,4995.82,2023-05-15
116,2,Smartphone,1,1862.46,2023-05-16
117,8,Console,4,270.11,2023-05-17
118,3,Smartwatch,2,4859.49,2023-05-18
119,5,Câmera,1,2668.01,2023-05-19
120,6,TV,7,179.89,2023-05-20
121,2,Câmera,5,3380.32,2023-05-21
122,6,Câmera,1,1648.99,2023-05-22
123,6,Console,7,1756.35,2023-05-23
124,5,Console,3,1155.69,2023-05-24
125,10,Fone de Ouvido,10,2374.4,2023-05-25
126,7,Smartwatch,3,4961.23,2023-05-26
127,1,Smartwatch,8,1928.63,2023-05-27
128,4,Console,7,1169.66,2023-05-28
129,2,Console,5,4010.81,2023-05-29
130,10,Fone de Ouvido,5,1325.55,2023-05-30
131,7,Fone de Ouvido,6,190.67,2023-05-31
132,8,Câmera,2,4291.39,2023-06-01
133,6,Câmera,2,723.44,2023-06-02
134,8,Fone de Ouvido,3,2118.31,2023-06-03
135,8,Smartwatch,3,3667.59,2023-06-04
136,4,Câmera,8,3899.85,2023-06-05
137,7,Smartphone,3,1139.9,2023-06-06
138,10,Smartphone,5,1608.93,2023-06-07
139,8,Câmera,7,1174.58,2023-06-08
140,10,TV,3,3363.55,2023-06-09
141,5,Fone de Ouvido,10,623.6,2023-06-10
142,8,Smartwatch,5,4174.54,2023-06-11
143,4,TV,5,1411.96,2023-06-12
144,5,Fone de Ouvido,9,1952.18,2023-06-13
145,7,Smartphone,5,1455.38,2023-06-14
146,7,TV,1,3607.15,2023-06-15
147,4,Smartwatch,5,4799.06,2023-06-16
148,3,Smartphone,7,4642.02,2023-06-17
149,1,Console,10,1830.45,2023-06-18
150,7,TV,5,741.24,2023-06-19
151,3,Câmera,7,1344.85,2023-06-20
152,2,Console,3,4904.71,2023-06-21
153,6,Câmera,9,3470.22,2023-06-22
154,10,Smartwatch,2,1335.11,2023-06-23
155,6,Smartphone,10,552.29,2023-06-24
156,9,Smartphone,1,609.94,2023-06-25
157,6,Câmera,6,4045.92,2023-06-26
158,2,TV,8,987.45,2023-06-27
159,1,Console,10,1152.8,2023-06-28
160,9,TV,6,3323.7,2023-06-29
161,6,Câmera,9,4786.02,2023-06-30
162,2,Smartwatch,4,2183.08,2023-07-01
163,4,TV,10,3692.27,2023-07-02
164,10,Console,6,4455.05,2023-07-03
165,8,Smartwatch,1,4854.62,2023-07-04
166,3,Smartwatch,6,2840.42,2023-07-05
167,5,Smartwatch,4,3077.3,2023-07-06
168,5,Smartwatch,3,4491.08,2023-07-07
169,5,Smartwatch,10,1305.91,2023-07-08
170,10,TV,4,1683.61,2023-07-09
171,4,Fone de Ouvido,8,1452.8,2023-07-10
172,2,Smartphone,2,4940.0,2023-07-11
173,2,Smartwatch,9,4301.54,2023-07-12
174,10,TV,8,2432.25,2023-07-13
175,5,Câmera,10,1929.91,2023-07-14
176,1,Smartwatch,5,3668.49,2023-07-15
177,6,Console,4,1998.19,2023-07-16
178,5,TV,4,3392.1,2023-07-17
179,1,TV,5,969.57,2023-07-18
180,2,Console,2,4085.84,2023-07-19
181,7,Fone de Ouvido,1,1856.61,2023-07-20
182,1,Smartwatch,9,989.53,2023-07-21
183,3,Smartphone,10,423.81,2023-07-22
184,3,Câmera,5,4345.84,2023-07-23
185,9,Câmera,8,2668.27,2023-07-24
186,3,Smartwatch,5,4868.89,2023-07-25
187,3,TV,2,1079.49,2023-07-26
188,5,Câmera,1,4775.96,2023-07-27
189,2,Câmera,1,1845.75,2023-07-28
190,8,Fone de Ouvido,2,2527.24,2023-07-29
191,9,Console,3,4947.49,2023-07-30
192,3,Fone de Ouvido,10,2500.78,2023-07-31
193,3,TV,5,135.19,2023-08-01
194,3,Console,7,1692.77,2023-08-02
195,1,Smartphone,2,1364.61,2023-08-03
196,9,TV,3,830.99,2023-08-04
197,2,Smartwatch,9,2683.62,2023-08-05
198,3,Fone de Ouvido,6,2751.84,2023-08-06
199,10,Smartphone,2,376.54,2023-08-07
200,3,Smartphone,9,2949.94,2023-08-08
